seriesId,seriesDescription,unit
COPR_WORLD,Total World Crude Oil Production,million barrels per day
PAPR_NONOPECPLUS,Non-OPEC Liquids Petroleum Production from non-OPEC+,million barrels per day
TOPRL48,Tight oil production,million barrels per day
TOPRAC,Tight oil production from Austin Chalk formation,million barrels per day
COPR_BA,"Crude Oil Production, Bahrain",million barrels per day
OGCMGEN_US,"Commercial sector net generation from other fossil gases, United States",billion kilowatthours
PAPR_AO,"Crude Oil and Liquid Fuels Supply, Angola",million barrels per day
PASC_OOECD_T3,Other OECD End-of-period Commercial Crude Oil and Other Liquids Inventory,"million barrels, end-of-period"
NGEPSHR_US,Natural gas share of U.S. electricity generation,percentage
PAPR_EC,"Crude Oil and Liquid Fuels Supply, Ecuador",million barrels per day
COPR_OPECPLUS,OPEC+ Total,million barrels per day
PRMBUUS,Mont Belvieu propane spot price,cents per gallon
COPR_NONOPEC,Non-OPEC Crude Oil Production,million barrels per day
NONOPEC_NC,Non-OPEC non-Crude Oil Liquids Production,million barrels per day
PAPR_AG,"Crude Oil and Liquid Fuels Supply, Algeria",million barrels per day
PAPR_CF,"Crude Oil and Liquid Fuels Supply, Equatorial Guinea",million barrels per day
PAPR_IR,"Crude Oil and Liquid Fuels Supply, Iran",million barrels per day
PAPR_IZ,"Crude Oil and Liquid Fuels Supply, Iraq",million barrels per day
PAPR_KU,"Crude Oil and Liquid Fuels Supply, Kuwait",million barrels per day
PAPR_LY,"Crude Oil and Liquid Fuels Supply, Libya",million barrels per day
PAPR_NI,"Crude Oil and Liquid Fuels Supply, Nigeria",million barrels per day
PAPR_NONOPECPLUS_XUS,Non-OPEC Liquids Petroleum Production from non-OPEC+ excluding the US,million barrels per day
PAPR_OPECPLUS,Total OPEC+ Petroleum Supply,million barrels per day
PAPR_OPECPLUS_OPEC,OPEC+ Liquids Petroleum Production from OPEC Members Subject to OPEC+ Agreements,million barrels per day
PAPR_SA,"Crude Oil and Liquid Fuels Supply, Saudi Arabia",million barrels per day
PAPR_TC,"Crude Oil and Liquid Fuels Supply, United Arab Emirates",million barrels per day
PAPR_VE,"Crude Oil and Liquid Fuels Supply, Venezuela",million barrels per day
WORLD_NC,World non-Crude Oil Liquids Production,million barrels per day
OBCMGEN_US,"Commercial sector net generation from other nonrenewable fuels, United States",billion kilowatthours
NUCMGEN_US,"Commercial sector net generation from nuclear, United States",billion kilowatthours
NGCMGEN_US,"Commercial sector net generation from natural gas, United States",billion kilowatthours
RNEPGEN_MW,"Electric power sector net generation from renewables excluding hydropower, Midwest (Midcontinent ISO)",billion kilowatthours
PAEPGEN_MW,"Electric power sector net generation from petroleum, Midwest (Midcontinent ISO)",billion kilowatthours
OGEPGEN_MW,"Electric power sector net generation from other fossil gases, Midwest (Midcontinent ISO)",billion kilowatthours
XXEPGEN_MW,"Electric power sector net generation from other energy sources, Midwest (Midcontinent ISO)",billion kilowatthours
TOEPGEN_MW,"Electric power sector total net generation from all types of energy sources, Midwest (Midcontinent ISO)",billion kilowatthours
ELLOAD_MW,"Net energy for electricity load, Midwest (Midcontinent ISO)",billion kilowatthours
NGEPGEN_NE,"Electric power sector net generation from natural gas, New England (ISO-NE)",billion kilowatthours
CLEPGEN_NE,"Electric power sector net generation from coal, New England (ISO-NE)",billion kilowatthours
NUEPGEN_NE,"Electric power sector net generation from nuclear, New England (ISO-NE)",billion kilowatthours
HPEPGEN_NE,"Electric power sector net generation from pumped storage hydropower, New England (ISO-NE)",billion kilowatthours
HVEPGEN_NE,"Electric power sector net generation from conventional hydropower, New England (ISO-NE)",billion kilowatthours
WNEPGEN_NE,"Electric power sector net generation from wind, New England (ISO-NE)",billion kilowatthours
SOEPGEN_NE,"Electric power sector net generation from utility-scale solar, New England (ISO-NE)",billion kilowatthours
GEEPGEN_NE,"Electric power sector net generation from geothermal, New England (ISO-NE)",billion kilowatthours
SOEPCAPX_US,Electric Power Sector Large-Scale Solar Net Summer Capacity,megawatts
PAPR_UK,"Crude Oil and Liquid Fuels Supply, United Kingdom",million barrels per day
ELIMPUS,Gross Imports of Electricity into the United States,billion kilowatthours per day
ELEXPUS,Gross Exports of Electricity from the United States,billion kilowatthours per day
BMEPGEN_NE,"Electric power sector net generation from biomass, New England (ISO-NE)",billion kilowatthours
RTEPGEN_MW,"Electric power sector net generation from renewable energy (all types), Midwest (Midcontinent ISO)",billion kilowatthours
RTEPGEN_NE,"Electric power sector net generation from renewable energy (all types), New England (ISO-NE)",billion kilowatthours
BMEPGEN_MW,"Electric power sector net generation from biomass, Midwest (Midcontinent ISO)",billion kilowatthours
SOEPGEN_MW,"Electric power sector net generation from utility-scale solar, Midwest (Midcontinent ISO)",billion kilowatthours
HPEPGEN_HA,"Electric power sector net generation from pumped storage hydropower, Hawaii and Alaska",billion kilowatthours
HVEPGEN_HA,"Electric power sector net generation from conventional hydropower, Hawaii and Alaska",billion kilowatthours
WNEPGEN_HA,"Electric power sector net generation from wind, Hawaii and Alaska",billion kilowatthours
